time,damage,slash,heat,electricity,toxin,gas
0,26364,,,,,
0.0166667,,,,,,
0.0333333,,,,,,
0.05,,,,,,
0.0666667,,,,,,
0.0833333,,,,,,
0.1,,,,,,
0.116667,,,,,,
0.133333,,,,,,
0.15,,,,,,
0.166667,,,,,,
0.183333,,,,,,
0.2,,,,,,
0.216667,,,,,,
0.233333,,,,,,
0.25,,,,,,
0.266667,,,,,,
0.283333,,,,,,
0.3,,,,,,
0.316667,,,,,,
0.333333,,,,,,
0.35,,,,,,
0.366667,,,,,,
0.383333,,,,,,
0.4,,,,,,
0.416667,,,,,,
0.433333,,,,,,
0.45,,,,,,
0.466667,,,,,,
0.483333,,,,,,
0.5,,,,,,
0.516667,,,,,,
0.533333,,,,,,
0.55,,,,,,
0.566667,,,,,,
0.583333,,,,,,
0.6,,,,,,
0.616667,,,,,,
0.633333,,,,,,
0.65,,,,,,
0.666667,,,,,,
0.683333,,,,,,
0.7,,,,,,
0.716667,,,,,,
0.733333,,,,,,
0.75,,,,,,
0.766667,,,,,,
0.783333,,,,,,
0.8,,,,,,
0.816667,,,,,,
0.833333,,,,,,
0.85,,,,,,
0.866667,,,,,,
0.883333,,,,,,
0.9,,,,,,
0.916667,,,,,,
0.933333,,,,,,
0.95,,,,,,
0.966667,25777,,,,,
0.983333,,,,,,
1,,,,,,
1.01667,,26148.7,,,,
1.03333,,,,,,
1.05,,,,,,
1.06667,,,,,,
1.08333,,,,,,
1.1,,,,,,
1.11667,,,,,,
1.13333,,,,,,
1.15,,,,,,
1.16667,,,,,,
1.18333,,,,,,
1.2,,,,,,
1.21667,,,,,,
1.23333,,,,,,
1.25,,,,,,
1.26667,,,,,,
1.28333,,,,,,
1.3,,,,,,
1.31667,,,,,,
1.33333,,,,,,
1.35,,,,,,
1.36667,,,,,,
1.38333,,,,,,
1.4,,,,,,
1.41667,,,,,,
1.43333,,,,,,
1.45,,,,,,
1.46667,,,,,,
1.48333,,,,,,
1.5,,,,,,
1.51667,,,,,,
1.53333,,,,,,
1.55,,,,,,
1.56667,,,,,,
1.58333,,,,,,
1.6,,,,,,
1.61667,,,,,,
1.63333,,,,,,
1.65,,,,,,
1.66667,,,,,,
1.68333,,,,,,
1.7,,,,,,
1.71667,,,,,,
1.73333,,,,,,
1.75,,,,,,
1.76667,,,,,,
1.78333,,,,,,
1.8,,,,,,
1.81667,,,,,,
1.83333,,,,,,
1.85,,,,,,
1.86667,,,,,,
1.88333,,,,,,
1.9,,,,,,
1.91667,,,,,,
1.93333,26920.8,,,,,
1.95,,,,,,
1.96667,,,,,,
1.98333,,,,,,
2,,,,,,
2.01667,,,,,,
2.03333,,32522.9,,,,
2.05,,,,,,
2.06667,,,,,,
2.08333,,,,,,
2.1,,,,,,
2.11667,,,,,,
2.13333,,,,,,
2.15,,,,,,
2.16667,,,,,,
2.18333,,,,,,
2.2,,,,,,
2.21667,,,,,,
2.23333,,,,,,
2.25,,,,,,
2.26667,,,,,,
2.28333,,,,,,
2.3,,,,,,
2.31667,,,,,,
2.33333,,,,,,
2.35,,,,,,
2.36667,,,,,,
2.38333,,,,,,
2.4,,,,,,
2.41667,,,,,,
2.43333,,,,,,
2.45,,,,,,
2.46667,,,,,,
2.48333,,,,,,
2.5,,,,,,
2.51667,,,,,,
2.53333,,,,,,
2.55,,,,,,
2.56667,,,,,,
2.58333,,,,,,
2.6,,,,,,
2.61667,,,,,,
2.63333,,,,,,
2.65,,,,,,
2.66667,,,,,,
2.68333,,,,,,
2.7,,,,,,
2.71667,,,,,,
2.73333,,,,,,
2.75,,,,,,
2.76667,,,,,,
2.78333,,,,,,
2.8,,,,,,
2.81667,,,,,,
2.83333,,,,,,
2.85,,,,,,
2.86667,,,,,,
2.88333,28426.8,,,,,
2.9,,,,,,
2.91667,,,,,,
2.93333,,,,,,
2.95,,,,,,
2.96667,,,,,,
2.98333,,,,,,
3,,,,,,
3.01667,,,,,,
3.03333,,,,,,
3.05,,31630.5,,,,
3.06667,,,,,,
3.08333,,,,,,
3.1,,,,,,
3.11667,,,,,,
3.13333,,,,,,
3.15,,,,,,
3.16667,,,,,,
3.18333,,,,,,
3.2,,,,,,
3.21667,,,,,,
3.23333,,,,,,
3.25,,,,,,
3.26667,,,,,,
3.28333,,,,,,
3.3,,,,,,
3.31667,,,,,,
3.33333,,,,,,
3.35,,,,,,
3.36667,,,,,,
3.38333,,,,,,
3.4,,,,,,
3.41667,,,,,,
3.43333,,,,,,
3.45,,,,,,
3.46667,,,,,,
3.48333,,,,,,
3.5,,,,,,
3.51667,,,,,,
3.53333,,,,,,
3.55,,,,,,
3.56667,,,,,,
3.58333,,,,,,
3.6,,,,,,
3.61667,,,,,,
3.63333,,,,,,
3.65,,,,,,
3.66667,,,,,,
3.68333,,,,,,
3.7,,,,,,
3.71667,,,,,,
3.73333,,,,,,
3.75,,,,,,
3.76667,,,,,,
3.78333,,,,,,
